"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Todos Endpoint","Verify response schema is correct","0","1","0","0","0"
"","Posts Endpoint","Example when response schema is incorrect","0","1","0","0","0"
"","Users Endpoint","Verify specific user is returned in the users response","2","0","0","0","0"
"","Todos Endpoint","Verify status code returned is expected","1","0","0","0","0"
"","Users Endpoint","Verify there is a user with a given zipcode","2","0","0","0","0"
"","Posts Endpoint","Verify status code returned is expected","1","0","0","0","0"
"","Posts Endpoint","Example when response code is incorrect","1","0","0","0","0"
"","Todos Endpoint","Verify amount of returned items is expected","1","0","0","0","0"
"","Users Endpoint","Verify response schema is correct","0","1","0","0","0"
"","Posts Endpoint","Verify amount of returned items is expected","1","0","0","0","0"
"","Users Endpoint","Verify status code returned is expected","1","0","0","0","0"
"","Users Endpoint","Verify amount of returned items is expected","1","0","0","0","0"
"","Posts Endpoint","Verify response schema is correct","0","1","0","0","0"
